,Followinf Count,Followers Count,Total Tweets,Retweet Count,Tweet Text
127,252,654,37463,0,@ANI Good Going @ANI. BJP can win #GujaratAssemblyPolls without all this also.
128,867,4016,14121,1,Yes this would certainly stop @INCGujarat from forming next Govt after #GujaratAssemblyPolls https://t.co/ta0ASjWhK9
129,2,4664,16218,0,"PM Modi to distribute 'Voter Slips' and do Door-to-Door campaigning asking citizens to vote for #BJP in Gujarat on 28-29 November.
He will repeat the same on 2-3 December.
#GujaratAssemblyPolls with
#VibesofIndia 
@BJP4India @BJP4Gujarat @AamAadmiParty @AAPGujarat 
@narendramodi https://t.co/eTTU81NEez"
130,1426,948,14982,0,"The saffron “ warrior’s ”

 #RivabaJadeja #RavindraJadeja 
@imjadeja #GujaratAssemblyPolls #GujaratElections2022  #Gujarat https://t.co/5KhOMvNS7k"
131,853,335,33250,1,"#TheNews | #GujaratAssemblyPolls - Key players campaign, PM on a 3-day tour in Gujarat from November 19 https://t.co/gjJgr1emik"
132,446,72,10121,0,@jigneshmevani80 For better future ✨️ for democracy for the people by the people 🙏 #GujaratAssemblyPolls
133,142,9682,3529,0,Congress releases the final list of 37 candidates for #GujaratAssemblyPolls. https://t.co/YeucEIGLLL
134,1221,281,17828,0,"The wait for 8th December is literally frustrating. ⏲ ⏳ 🙃

Anyone else feeling same?

#GujaratElection2022 #GujaratAssemblyPolls #GujaratAssemblyElection2022 https://t.co/JZ3vLftYRB"
135,707,1160,78202,0,"#GujaratElections2022 #GujaratAssemblyPolls 
BJP- making loud noise. 
AAP-making the right noise.
Congress- Itna Sannata Kyun Hai Bhai."
136,3833,2256,207548,30,"This is not a “Wave” anymore..
This is a “Tsunami” in #GujaratElections2022  🌊🔥

#AAPWaveInGujarat #GujaratAssemblyPolls https://t.co/PmCWfDPgC7"
137,1529,1140,6221,0,"#KanchanJariwala #GujaratElections2022 #BreakingNews #Congress #BJPSuratMM #कानपुर #SABCNews 
#AAP candidate from #Surat #KanchanJariwala pulled back his nomination for #GujaratAssemblyPolls https://t.co/1uoNV5Ryii"
138,43,284,74085,1,Former quota agitation leader #ReshmaPatel joins AAP ahead of #GujaratAssemblypolls-PTI
139,1404,1751,143515,0,"It seems, Every election is a business opportunity for @AamAadmiParty

#DelhiMCDElection tickets sold for ₹90 Lakh. 

#GujaratAssemblyPolls ticket rate?
 
@msisodia"
140,89,5,465,2,Former quota agitation leader #ReshmaPatel joins AAP ahead of #GujaratAssemblyPolls
